,Number of Stars,Full Review,title
0,5,Very nice product this watch is amazing I'm very happy to buy this smart watch,boAt Storm Smartwatch Reviews
1,4,"If there was an award for the worst smartwatch in the market, this wouldn't have won it, because this dumb thing is not qualified to be called a smartwatch. The BoatPro app is the worst thing I have seen in a long time (the ratings on PlayStore say it all). It looks like an internship project where the intern just left halfway. The watch and the app won't sync, huge battery drain, randomly resets the progress, won't save the data, no notification alert, and the list goes on.

ALWAYS BUY A SMA...",boAt Storm Smartwatch Reviews
2,4,"Go for it.
I don't believe in any reviews untill I use it any gadgets.
You can consider accuracy level in btw 85 to 95 perc.

My positive Result of Day 1 uses.

SLEEP MODE. GOOD
BLOOD PRESSURE. NORMAL

DIAL INTERFACE. EVERY TIME YOU NEED TO EITHER DOWNLOAD A PHOTO OR SELECT FROM YOUR OWN PHONE GALLARY .

MUSIC CONTROL CONTROL YOUR DEFAULT MUSIC PLAYER, VOL UP AND DOWN . AND PAUSE AND PLAY.

Incorrect accuracy in waking activitie - automatically update walki...",boAt Storm Smartwatch Reviews
3,5,"After use for one month I write this review, battery backup is gud, I have made update and custom wallpaper is superb, call notification is superb, msgs receive properly, but blue strap is not Luking cool as black one .....other features are gud and works well......one thing more Alwyz on display feature is needed but not available in storm",boAt Storm Smartwatch Reviews
4,5,Excellent product very nice watch better than realme and huami . Activity tracker is very nice give an good idea of activity. It have music control too. Worth of money. Recommended product 😍😍👌👌👍❤❤,boAt Storm Smartwatch Reviews
5,3,"It was a great smart watch, with amazing activity trackers,and I like the sleep calculator",boAt Storm Smartwatch Reviews
6,5,"In terms of looks it is pretty neat in this price range and features as well for different modes like walk, Run, Yoga etc.
The app interface is straight to point.
I primarily use it for calories counter and sleep tracker.
It also has BP and Oxegen monitor as well which can be handily not for accurate use.

For 2.5k it is ok but don't spend much on these watches if you are looking for some serious lifestyle. Just use it for casual fitness tracker for basics.

Overall its a good device in this ...",boAt Storm Smartwatch Reviews
7,3,Best smart watch battery excellent very comfortable I using last @ 45 days after only I post this review I buy 2 for me and my wife it's looking very smart and cute ... I recommend for all its budget smartwatch worth of money ....,boAt Storm Smartwatch Reviews
8,5,"Been using this Watch since it's launch. 30th Oct 2020. The product seems good initially, but fails to impress after long time use.

Pros:
1. The watch is lightweight & has slightly premium look.
2. The battery life is good, It lasts more than a week if you don't record any activity & a week if any activities are recorded. (Auto heart rate monitor on & with wake up gesture on)
3. The apps gives good amount of the info about the daily exercise, sleep, and heart rate.
4. The OS is simple.

Con...",boAt Storm Smartwatch Reviews
9,4,Its been 1 week using it it works greal i loved it all the sensor works perfect spo2 and bp monitor is best the desing the quality i loved it . Loved the custom face option,boAt Storm Smartwatch Reviews
10,5,"Writing this review after 2 weeks.
PROS:-less weight
High brightness
User friendly
Good speed
Notification is stylish and very useful
Good in look when screen off😬
Battery life is good
Water resistance works well
Screen quality is very good.. even i thought its gorilla glass
You can add any photo as wallpaper
CONS:
Screen size is disappointing
App is very bad..new update is not working well..please make better app developers. When changing to external wallpaper, time and date become little...",boAt Storm Smartwatch Reviews
11,4,"Wooww🖤Grt watch
awesome 💌💌
🖤I loved it super fabulous🖤
Best of the brand like boat 💯",boAt Storm Smartwatch Reviews
12,4,"Ya its a cool watch and I liked the built quality , and water resistant , itts looking cool and its working accurate ly .
Cons....
1. App clearance
2. Notification vibration. Exapt this all are nice features in this watch",boAt Storm Smartwatch Reviews
13,5,"Boat smart watch nice and decent product in this price range. The functionality is amazing and display quality is also good, the battery life is not so good compare to other smart watches this is the main drawback, the battery life comes for 5-6 days for 1 full charge. Belt quality good and smooth. ❤️ Rate sensor gives nearly accurate BPM and other good thing is oxygen sensor is good but I don't know how much accurate this, BP monitoring also there quite a good feature, music control is good...",boAt Storm Smartwatch Reviews
14,5,"Good watch...👍
Use after 10 day .and one time charge. Battery backup so nice upto 9-10 day...my boat watch received 10 days..after
Use boat strom watch quality GOOD nice and metal body casing so good wach belt quality.cloued based watch 38 face.and later OTA UPDATE. version 7 update but boat storm v7 personalize face watch not avaliable in pro gear app
Please. So next update add features in pro gear and all of good nice watch in price range",boAt Storm Smartwatch Reviews
15,5,Watch is amazing. Looks so good & battery is good last for 4 to 5 days. Great deal..Thank you Flipkart💖😊👏,boAt Storm Smartwatch Reviews
16,4,"Writing this review after 4 days

Display is very nice
Battery backup is very good
After app update more watch faces are available
Notification vibration are in it
Design is very stylish
Scroling smoothness also nice
accuracy is good
Apps notification are good
At this price the boat storm smart watch is very nice",boAt Storm Smartwatch Reviews
17,5,"It was a Xmas gift for my fiance. And she loved it. Good Battery Back Up, premium rich feel, activities and features. 5 star product.... Boat Rocks!!",boAt Storm Smartwatch Reviews
18,4,"Design and aesthetic : The storm looks like a premium watch and also the black aesthetic goes well with formal or casual dresses (Traditional/Ethnic dresses are a bit of hit or miss)

Build and Durability : The body feels rigid and durable but still it would hurt to add on a screen protector to prevent any scratches on the glass

Functionality : Simple UI and simple controls but does the job pretty well. Measures SpO2, Heart Rate, Blood pressure in addition to the usual steps and distance cal...",boAt Storm Smartwatch Reviews
